# TwemojiMozilla.ttf v0.6.0 GSUB ligature sequences (2223)

#️⃣	U+0023 U+FE0F U+20E3
*️⃣	U+002A U+FE0F U+20E3
👩🏼‍❤️‍👨🏾	U+1F469 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F468 U+1F3FE
👩🏼‍❤️‍👨🏿	U+1F469 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F468 U+1F3FF
👩🏼‍❤️‍👩🏻	U+1F469 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F469 U+1F3FB
👩🏼‍❤️‍👩🏼	U+1F469 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F469 U+1F3FC
👩🏼‍❤️‍👩🏽	U+1F469 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F469 U+1F3FD
👩🏼‍❤️‍👩🏾	U+1F469 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F469 U+1F3FE
👩🏼‍❤️‍👩🏿	U+1F469 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F469 U+1F3FF
👩🏼‍❤️‍💋‍👨🏻	U+1F469 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FB
👩🏼‍❤️‍💋‍👨🏼	U+1F469 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FC
👩🏼‍❤️‍💋‍👨🏽	U+1F469 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FD
👩🏼‍❤️‍💋‍👨🏾	U+1F469 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FE
👩🏼‍❤️‍💋‍👨🏿	U+1F469 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FF
👩🏼‍❤️‍💋‍👩🏻	U+1F469 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FB
👩🏼‍❤️‍💋‍👩🏼	U+1F469 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FC
👩🏼‍❤️‍💋‍👩🏽	U+1F469 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FD
👩🏼‍❤️‍💋‍👩🏾	U+1F469 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FE
👩🏼‍❤️‍💋‍👩🏿	U+1F469 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FF
👩🏼‍🌾	U+1F469 U+1F3FC U+200D U+1F33E
👩🏼‍🍳	U+1F469 U+1F3FC U+200D U+1F373
👩🏼‍🍼	U+1F469 U+1F3FC U+200D U+1F37C
👩🏼‍🎄	U+1F469 U+1F3FC U+200D U+1F384
👩🏼‍🎓	U+1F469 U+1F3FC U+200D U+1F393
👩🏼‍🎤	U+1F469 U+1F3FC U+200D U+1F3A4
👩🏼‍🎨	U+1F469 U+1F3FC U+200D U+1F3A8
👩🏼‍🏫	U+1F469 U+1F3FC U+200D U+1F3EB
👩🏼‍🏭	U+1F469 U+1F3FC U+200D U+1F3ED
👩🏼‍💻	U+1F469 U+1F3FC U+200D U+1F4BB
👩🏼‍💼	U+1F469 U+1F3FC U+200D U+1F4BC
👩🏼‍🔧	U+1F469 U+1F3FC U+200D U+1F527
👩🏼‍🔬	U+1F469 U+1F3FC U+200D U+1F52C
👩🏼‍🚀	U+1F469 U+1F3FC U+200D U+1F680
👩🏼‍🚒	U+1F469 U+1F3FC U+200D U+1F692
👩🏼‍🤝‍👨🏻	U+1F469 U+1F3FC U+200D U+1F91D U+200D U+1F468 U+1F3FB
👩🏼‍🤝‍👨🏽	U+1F469 U+1F3FC U+200D U+1F91D U+200D U+1F468 U+1F3FD
👩🏼‍🤝‍👨🏾	U+1F469 U+1F3FC U+200D U+1F91D U+200D U+1F468 U+1F3FE
👩🏼‍🤝‍👨🏿	U+1F469 U+1F3FC U+200D U+1F91D U+200D U+1F468 U+1F3FF
👩🏼‍🤝‍👩🏻	U+1F469 U+1F3FC U+200D U+1F91D U+200D U+1F469 U+1F3FB
👩🏼‍🤝‍👩🏽	U+1F469 U+1F3FC U+200D U+1F91D U+200D U+1F469 U+1F3FD
👩🏼‍🤝‍👩🏾	U+1F469 U+1F3FC U+200D U+1F91D U+200D U+1F469 U+1F3FE
👩🏼‍🤝‍👩🏿	U+1F469 U+1F3FC U+200D U+1F91D U+200D U+1F469 U+1F3FF
👩🏼‍🦯	U+1F469 U+1F3FC U+200D U+1F9AF
👩🏼‍🦰	U+1F469 U+1F3FC U+200D U+1F9B0
👩🏼‍🦱	U+1F469 U+1F3FC U+200D U+1F9B1
👩🏼‍🦲	U+1F469 U+1F3FC U+200D U+1F9B2
👩🏼‍🦳	U+1F469 U+1F3FC U+200D U+1F9B3
👩🏼‍🦼	U+1F469 U+1F3FC U+200D U+1F9BC
👩🏼‍🦽	U+1F469 U+1F3FC U+200D U+1F9BD
👩🏽	U+1F469 U+1F3FD
👩🏽‍⚕️	U+1F469 U+1F3FD U+200D U+2695 U+FE0F
👩🏽‍⚖️	U+1F469 U+1F3FD U+200D U+2696 U+FE0F
👩🏽‍✈️	U+1F469 U+1F3FD U+200D U+2708 U+FE0F
👩🏽‍❤️‍👨🏻	U+1F469 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F468 U+1F3FB
👩🏽‍❤️‍👨🏼	U+1F469 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F468 U+1F3FC
👩🏽‍❤️‍👨🏽	U+1F469 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F468 U+1F3FD
👩🏽‍❤️‍👨🏾	U+1F469 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F468 U+1F3FE
👩🏽‍❤️‍👨🏿	U+1F469 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F468 U+1F3FF
👩🏽‍❤️‍👩🏻	U+1F469 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F469 U+1F3FB
👩🏽‍❤️‍👩🏼	U+1F469 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F469 U+1F3FC
👩🏽‍❤️‍👩🏽	U+1F469 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F469 U+1F3FD
👩🏽‍❤️‍👩🏾	U+1F469 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F469 U+1F3FE
👩🏽‍❤️‍👩🏿	U+1F469 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F469 U+1F3FF
👩🏽‍❤️‍💋‍👨🏻	U+1F469 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FB
👩🏽‍❤️‍💋‍👨🏼	U+1F469 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FC
👩🏽‍❤️‍💋‍👨🏽	U+1F469 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FD
👩🏽‍❤️‍💋‍👨🏾	U+1F469 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FE
👩🏽‍❤️‍💋‍👨🏿	U+1F469 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FF
👩🏽‍❤️‍💋‍👩🏻	U+1F469 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FB
👩🏽‍❤️‍💋‍👩🏼	U+1F469 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FC
👩🏽‍❤️‍💋‍👩🏽	U+1F469 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FD
👩🏽‍❤️‍💋‍👩🏾	U+1F469 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FE
👩🏽‍❤️‍💋‍👩🏿	U+1F469 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FF
👩🏽‍🌾	U+1F469 U+1F3FD U+200D U+1F33E
👩🏽‍🍳	U+1F469 U+1F3FD U+200D U+1F373
👩🏽‍🍼	U+1F469 U+1F3FD U+200D U+1F37C
👩🏽‍🎄	U+1F469 U+1F3FD U+200D U+1F384
👩🏽‍🎓	U+1F469 U+1F3FD U+200D U+1F393
👩🏽‍🎤	U+1F469 U+1F3FD U+200D U+1F3A4
👩🏽‍🎨	U+1F469 U+1F3FD U+200D U+1F3A8
👩🏽‍🏫	U+1F469 U+1F3FD U+200D U+1F3EB
👩🏽‍🏭	U+1F469 U+1F3FD U+200D U+1F3ED
👩🏽‍💻	U+1F469 U+1F3FD U+200D U+1F4BB
👩🏽‍💼	U+1F469 U+1F3FD U+200D U+1F4BC
👩🏽‍🔧	U+1F469 U+1F3FD U+200D U+1F527
👩🏽‍🔬	U+1F469 U+1F3FD U+200D U+1F52C
👩🏽‍🚀	U+1F469 U+1F3FD U+200D U+1F680
👩🏽‍🚒	U+1F469 U+1F3FD U+200D U+1F692
👩🏽‍🤝‍👨🏻	U+1F469 U+1F3FD U+200D U+1F91D U+200D U+1F468 U+1F3FB
👩🏽‍🤝‍👨🏼	U+1F469 U+1F3FD U+200D U+1F91D U+200D U+1F468 U+1F3FC
👩🏽‍🤝‍👨🏾	U+1F469 U+1F3FD U+200D U+1F91D U+200D U+1F468 U+1F3FE
👩🏽‍🤝‍👨🏿	U+1F469 U+1F3FD U+200D U+1F91D U+200D U+1F468 U+1F3FF
👩🏽‍🤝‍👩🏻	U+1F469 U+1F3FD U+200D U+1F91D U+200D U+1F469 U+1F3FB
👩🏽‍🤝‍👩🏼	U+1F469 U+1F3FD U+200D U+1F91D U+200D U+1F469 U+1F3FC
👩🏽‍🤝‍👩🏾	U+1F469 U+1F3FD U+200D U+1F91D U+200D U+1F469 U+1F3FE
👩🏽‍🤝‍👩🏿	U+1F469 U+1F3FD U+200D U+1F91D U+200D U+1F469 U+1F3FF
👩🏽‍🦯	U+1F469 U+1F3FD U+200D U+1F9AF
👩🏽‍🦰	U+1F469 U+1F3FD U+200D U+1F9B0
👩🏽‍🦱	U+1F469 U+1F3FD U+200D U+1F9B1
👩🏽‍🦲	U+1F469 U+1F3FD U+200D U+1F9B2
👩🏽‍🦳	U+1F469 U+1F3FD U+200D U+1F9B3
👩🏽‍🦼	U+1F469 U+1F3FD U+200D U+1F9BC
👩🏽‍🦽	U+1F469 U+1F3FD U+200D U+1F9BD
👩🏾	U+1F469 U+1F3FE
👩🏾‍⚕️	U+1F469 U+1F3FE U+200D U+2695 U+FE0F
👩🏾‍⚖️	U+1F469 U+1F3FE U+200D U+2696 U+FE0F
👩🏾‍✈️	U+1F469 U+1F3FE U+200D U+2708 U+FE0F
👩🏾‍❤️‍👨🏻	U+1F469 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F468 U+1F3FB
👩🏾‍❤️‍👨🏼	U+1F469 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F468 U+1F3FC
👩🏾‍❤️‍👨🏽	U+1F469 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F468 U+1F3FD
👩🏾‍❤️‍👨🏾	U+1F469 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F468 U+1F3FE
👩🏾‍❤️‍👨🏿	U+1F469 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F468 U+1F3FF
👩🏾‍❤️‍👩🏻	U+1F469 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F469 U+1F3FB
👩🏾‍❤️‍👩🏼	U+1F469 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F469 U+1F3FC
👩🏾‍❤️‍👩🏽	U+1F469 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F469 U+1F3FD
👩🏾‍❤️‍👩🏾	U+1F469 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F469 U+1F3FE
👩🏾‍❤️‍👩🏿	U+1F469 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F469 U+1F3FF
👩🏾‍❤️‍💋‍👨🏻	U+1F469 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FB
👩🏾‍❤️‍💋‍👨🏼	U+1F469 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FC
👩🏾‍❤️‍💋‍👨🏽	U+1F469 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FD
👩🏾‍❤️‍💋‍👨🏾	U+1F469 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FE
👩🏾‍❤️‍💋‍👨🏿	U+1F469 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FF
👩🏾‍❤️‍💋‍👩🏻	U+1F469 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FB
👩🏾‍❤️‍💋‍👩🏼	U+1F469 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FC
👩🏾‍❤️‍💋‍👩🏽	U+1F469 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FD
👩🏾‍❤️‍💋‍👩🏾	U+1F469 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FE
👩🏾‍❤️‍💋‍👩🏿	U+1F469 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FF
👩🏾‍🌾	U+1F469 U+1F3FE U+200D U+1F33E
👩🏾‍🍳	U+1F469 U+1F3FE U+200D U+1F373
👩🏾‍🍼	U+1F469 U+1F3FE U+200D U+1F37C
👩🏾‍🎄	U+1F469 U+1F3FE U+200D U+1F384
👩🏾‍🎓	U+1F469 U+1F3FE U+200D U+1F393
👩🏾‍🎤	U+1F469 U+1F3FE U+200D U+1F3A4
👩🏾‍🎨	U+1F469 U+1F3FE U+200D U+1F3A8
👩🏾‍🏫	U+1F469 U+1F3FE U+200D U+1F3EB
👩🏾‍🏭	U+1F469 U+1F3FE U+200D U+1F3ED
👩🏾‍💻	U+1F469 U+1F3FE U+200D U+1F4BB
👩🏾‍💼	U+1F469 U+1F3FE U+200D U+1F4BC
👩🏾‍🔧	U+1F469 U+1F3FE U+200D U+1F527
👩🏾‍🔬	U+1F469 U+1F3FE U+200D U+1F52C
👩🏾‍🚀	U+1F469 U+1F3FE U+200D U+1F680
👩🏾‍🚒	U+1F469 U+1F3FE U+200D U+1F692
👩🏾‍🤝‍👨🏻	U+1F469 U+1F3FE U+200D U+1F91D U+200D U+1F468 U+1F3FB
👩🏾‍🤝‍👨🏼	U+1F469 U+1F3FE U+200D U+1F91D U+200D U+1F468 U+1F3FC
👩🏾‍🤝‍👨🏽	U+1F469 U+1F3FE U+200D U+1F91D U+200D U+1F468 U+1F3FD
👩🏾‍🤝‍👨🏿	U+1F469 U+1F3FE U+200D U+1F91D U+200D U+1F468 U+1F3FF
👩🏾‍🤝‍👩🏻	U+1F469 U+1F3FE U+200D U+1F91D U+200D U+1F469 U+1F3FB
👩🏾‍🤝‍👩🏼	U+1F469 U+1F3FE U+200D U+1F91D U+200D U+1F469 U+1F3FC
👩🏾‍🤝‍👩🏽	U+1F469 U+1F3FE U+200D U+1F91D U+200D U+1F469 U+1F3FD
👩🏾‍🤝‍👩🏿	U+1F469 U+1F3FE U+200D U+1F91D U+200D U+1F469 U+1F3FF
👩🏾‍🦯	U+1F469 U+1F3FE U+200D U+1F9AF
👩🏾‍🦰	U+1F469 U+1F3FE U+200D U+1F9B0
👩🏾‍🦱	U+1F469 U+1F3FE U+200D U+1F9B1
👩🏾‍🦲	U+1F469 U+1F3FE U+200D U+1F9B2
👩🏾‍🦳	U+1F469 U+1F3FE U+200D U+1F9B3
👩🏾‍🦼	U+1F469 U+1F3FE U+200D U+1F9BC
👩🏾‍🦽	U+1F469 U+1F3FE U+200D U+1F9BD
👩🏿	U+1F469 U+1F3FF
👩🏿‍⚕️	U+1F469 U+1F3FF U+200D U+2695 U+FE0F
👩🏿‍⚖️	U+1F469 U+1F3FF U+200D U+2696 U+FE0F
👩🏿‍✈️	U+1F469 U+1F3FF U+200D U+2708 U+FE0F
👩🏿‍❤️‍👨🏻	U+1F469 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F468 U+1F3FB
👩🏿‍❤️‍👨🏼	U+1F469 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F468 U+1F3FC
👩🏿‍❤️‍👨🏽	U+1F469 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F468 U+1F3FD
👩🏿‍❤️‍👨🏾	U+1F469 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F468 U+1F3FE
👩🏿‍❤️‍👨🏿	U+1F469 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F468 U+1F3FF
👩🏿‍❤️‍👩🏻	U+1F469 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F469 U+1F3FB
👩🏿‍❤️‍👩🏼	U+1F469 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F469 U+1F3FC
👩🏿‍❤️‍👩🏽	U+1F469 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F469 U+1F3FD
👩🏿‍❤️‍👩🏾	U+1F469 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F469 U+1F3FE
👩🏿‍❤️‍👩🏿	U+1F469 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F469 U+1F3FF
👩🏿‍❤️‍💋‍👨🏻	U+1F469 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FB
👩🏿‍❤️‍💋‍👨🏼	U+1F469 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FC
👩🏿‍❤️‍💋‍👨🏽	U+1F469 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FD
👩🏿‍❤️‍💋‍👨🏾	U+1F469 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FE
👩🏿‍❤️‍💋‍👨🏿	U+1F469 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FF
👩🏿‍❤️‍💋‍👩🏻	U+1F469 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FB
👩🏿‍❤️‍💋‍👩🏼	U+1F469 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FC
👩🏿‍❤️‍💋‍👩🏽	U+1F469 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FD
👩🏿‍❤️‍💋‍👩🏾	U+1F469 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FE
👩🏿‍❤️‍💋‍👩🏿	U+1F469 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FF
👩🏿‍🌾	U+1F469 U+1F3FF U+200D U+1F33E
👩🏿‍🍳	U+1F469 U+1F3FF U+200D U+1F373
👩🏿‍🍼	U+1F469 U+1F3FF U+200D U+1F37C
👩🏿‍🎄	U+1F469 U+1F3FF U+200D U+1F384
👩🏿‍🎓	U+1F469 U+1F3FF U+200D U+1F393
👩🏿‍🎤	U+1F469 U+1F3FF U+200D U+1F3A4
👩🏿‍🎨	U+1F469 U+1F3FF U+200D U+1F3A8
👩🏿‍🏫	U+1F469 U+1F3FF U+200D U+1F3EB
👩🏿‍🏭	U+1F469 U+1F3FF U+200D U+1F3ED
👩🏿‍💻	U+1F469 U+1F3FF U+200D U+1F4BB
👩🏿‍💼	U+1F469 U+1F3FF U+200D U+1F4BC
👩🏿‍🔧	U+1F469 U+1F3FF U+200D U+1F527
👩🏿‍🔬	U+1F469 U+1F3FF U+200D U+1F52C
👩🏿‍🚀	U+1F469 U+1F3FF U+200D U+1F680
👩🏿‍🚒	U+1F469 U+1F3FF U+200D U+1F692
👩🏿‍🤝‍👨🏻	U+1F469 U+1F3FF U+200D U+1F91D U+200D U+1F468 U+1F3FB
👩🏿‍🤝‍👨🏼	U+1F469 U+1F3FF U+200D U+1F91D U+200D U+1F468 U+1F3FC
👩🏿‍🤝‍👨🏽	U+1F469 U+1F3FF U+200D U+1F91D U+200D U+1F468 U+1F3FD
👩🏿‍🤝‍👨🏾	U+1F469 U+1F3FF U+200D U+1F91D U+200D U+1F468 U+1F3FE
👩🏿‍🤝‍👩🏻	U+1F469 U+1F3FF U+200D U+1F91D U+200D U+1F469 U+1F3FB
👩🏿‍🤝‍👩🏼	U+1F469 U+1F3FF U+200D U+1F91D U+200D U+1F469 U+1F3FC
👩🏿‍🤝‍👩🏽	U+1F469 U+1F3FF U+200D U+1F91D U+200D U+1F469 U+1F3FD
👩🏿‍🤝‍👩🏾	U+1F469 U+1F3FF U+200D U+1F91D U+200D U+1F469 U+1F3FE
👩🏿‍🦯	U+1F469 U+1F3FF U+200D U+1F9AF
👩🏿‍🦰	U+1F469 U+1F3FF U+200D U+1F9B0
👩🏿‍🦱	U+1F469 U+1F3FF U+200D U+1F9B1
👩🏿‍🦲	U+1F469 U+1F3FF U+200D U+1F9B2
👩🏿‍🦳	U+1F469 U+1F3FF U+200D U+1F9B3
👩🏿‍🦼	U+1F469 U+1F3FF U+200D U+1F9BC
👩🏿‍🦽	U+1F469 U+1F3FF U+200D U+1F9BD
👫🏻	U+1F46B U+1F3FB
👫🏼	U+1F46B U+1F3FC
👫🏽	U+1F46B U+1F3FD
👫🏾	U+1F46B U+1F3FE
👫🏿	U+1F46B U+1F3FF
👬🏻	U+1F46C U+1F3FB
👬🏼	U+1F46C U+1F3FC
👬🏽	U+1F46C U+1F3FD
👬🏾	U+1F46C U+1F3FE
👬🏿	U+1F46C U+1F3FF
👭🏻	U+1F46D U+1F3FB
👭🏼	U+1F46D U+1F3FC
👭🏽	U+1F46D U+1F3FD
👭🏾	U+1F46D U+1F3FE
👭🏿	U+1F46D U+1F3FF
👮‍♀️	U+1F46E U+200D U+2640 U+FE0F
👮‍♂️	U+1F46E U+200D U+2642 U+FE0F
👮🏻	U+1F46E U+1F3FB
👮🏻‍♀️	U+1F46E U+1F3FB U+200D U+2640 U+FE0F
👮🏻‍♂️	U+1F46E U+1F3FB U+200D U+2642 U+FE0F
👮🏼	U+1F46E U+1F3FC
👮🏼‍♀️	U+1F46E U+1F3FC U+200D U+2640 U+FE0F
👮🏼‍♂️	U+1F46E U+1F3FC U+200D U+2642 U+FE0F
👮🏽	U+1F46E U+1F3FD
👮🏽‍♀️	U+1F46E U+1F3FD U+200D U+2640 U+FE0F
👮🏽‍♂️	U+1F46E U+1F3FD U+200D U+2642 U+FE0F
👮🏾	U+1F46E U+1F3FE
👮🏾‍♀️	U+1F46E U+1F3FE U+200D U+2640 U+FE0F
👮🏾‍♂️	U+1F46E U+1F3FE U+200D U+2642 U+FE0F
👮🏿	U+1F46E U+1F3FF
👮🏿‍♀️	U+1F46E U+1F3FF U+200D U+2640 U+FE0F
👮🏿‍♂️	U+1F46E U+1F3FF U+200D U+2642 U+FE0F
👯‍♀️	U+1F46F U+200D U+2640 U+FE0F
👯‍♂️	U+1F46F U+200D U+2642 U+FE0F
👰‍♀️	U+1F470 U+200D U+2640 U+FE0F
👰‍♂️	U+1F470 U+200D U+2642 U+FE0F
👰🏻	U+1F470 U+1F3FB
👰🏻‍♀️	U+1F470 U+1F3FB U+200D U+2640 U+FE0F
👰🏻‍♂️	U+1F470 U+1F3FB U+200D U+2642 U+FE0F
👰🏼	U+1F470 U+1F3FC
👰🏼‍♀️	U+1F470 U+1F3FC U+200D U+2640 U+FE0F
👰🏼‍♂️	U+1F470 U+1F3FC U+200D U+2642 U+FE0F
👰🏽	U+1F470 U+1F3FD
👰🏽‍♀️	U+1F470 U+1F3FD U+200D U+2640 U+FE0F
👰🏽‍♂️	U+1F470 U+1F3FD U+200D U+2642 U+FE0F
👰🏾	U+1F470 U+1F3FE
👰🏾‍♀️	U+1F470 U+1F3FE U+200D U+2640 U+FE0F
👰🏾‍♂️	U+1F470 U+1F3FE U+200D U+2642 U+FE0F
👰🏿	U+1F470 U+1F3FF
👰🏿‍♀️	U+1F470 U+1F3FF U+200D U+2640 U+FE0F
👰🏿‍♂️	U+1F470 U+1F3FF U+200D U+2642 U+FE0F
👱‍♀️	U+1F471 U+200D U+2640 U+FE0F
👱‍♂️	U+1F471 U+200D U+2642 U+FE0F
👱🏻	U+1F471 U+1F3FB
👱🏻‍♀️	U+1F471 U+1F3FB U+200D U+2640 U+FE0F
👱🏻‍♂️	U+1F471 U+1F3FB U+200D U+2642 U+FE0F
👱🏼	U+1F471 U+1F3FC
👱🏼‍♀️	U+1F471 U+1F3FC U+200D U+2640 U+FE0F
👱🏼‍♂️	U+1F471 U+1F3FC U+200D U+2642 U+FE0F
👱🏽	U+1F471 U+1F3FD
👱🏽‍♀️	U+1F471 U+1F3FD U+200D U+2640 U+FE0F
👱🏽‍♂️	U+1F471 U+1F3FD U+200D U+2642 U+FE0F
👱🏾	U+1F471 U+1F3FE
👱🏾‍♀️	U+1F471 U+1F3FE U+200D U+2640 U+FE0F
👱🏾‍♂️	U+1F471 U+1F3FE U+200D U+2642 U+FE0F
👱🏿	U+1F471 U+1F3FF
👱🏿‍♀️	U+1F471 U+1F3FF U+200D U+2640 U+FE0F
👱🏿‍♂️	U+1F471 U+1F3FF U+200D U+2642 U+FE0F
👲🏻	U+1F472 U+1F3FB
👲🏼	U+1F472 U+1F3FC
👲🏽	U+1F472 U+1F3FD
👲🏾	U+1F472 U+1F3FE
👲🏿	U+1F472 U+1F3FF
👳‍♀️	U+1F473 U+200D U+2640 U+FE0F
👳‍♂️	U+1F473 U+200D U+2642 U+FE0F
👳🏻	U+1F473 U+1F3FB
👳🏻‍♀️	U+1F473 U+1F3FB U+200D U+2640 U+FE0F
👳🏻‍♂️	U+1F473 U+1F3FB U+200D U+2642 U+FE0F
👳🏼	U+1F473 U+1F3FC
👳🏼‍♀️	U+1F473 U+1F3FC U+200D U+2640 U+FE0F
👳🏼‍♂️	U+1F473 U+1F3FC U+200D U+2642 U+FE0F
👳🏽	U+1F473 U+1F3FD
👳🏽‍♀️	U+1F473 U+1F3FD U+200D U+2640 U+FE0F
👳🏽‍♂️	U+1F473 U+1F3FD U+200D U+2642 U+FE0F
👳🏾	U+1F473 U+1F3FE
👳🏾‍♀️	U+1F473 U+1F3FE U+200D U+2640 U+FE0F
👳🏾‍♂️	U+1F473 U+1F3FE U+200D U+2642 U+FE0F
👳🏿	U+1F473 U+1F3FF
👳🏿‍♀️	U+1F473 U+1F3FF U+200D U+2640 U+FE0F
👳🏿‍♂️	U+1F473 U+1F3FF U+200D U+2642 U+FE0F
👴🏻	U+1F474 U+1F3FB
👴🏼	U+1F474 U+1F3FC
👴🏽	U+1F474 U+1F3FD
👴🏾	U+1F474 U+1F3FE
👴🏿	U+1F474 U+1F3FF
👵🏻	U+1F475 U+1F3FB
👵🏼	U+1F475 U+1F3FC
👵🏽	U+1F475 U+1F3FD
👵🏾	U+1F475 U+1F3FE
👵🏿	U+1F475 U+1F3FF
👶🏻	U+1F476 U+1F3FB
👶🏼	U+1F476 U+1F3FC
👶🏽	U+1F476 U+1F3FD
👶🏾	U+1F476 U+1F3FE
👶🏿	U+1F476 U+1F3FF
